Removed Pin From Net: NetName=BAT_RETURN Pin=12V_DRIVE-2
Removed Pin From Net: NetName=12V Pin=12V_PI-1
Removed Pin From Net: NetName=BAT_RETURN Pin=12V_PI-2
Removed Pin From Net: NetName=5V_ESP32_RETURN Pin=C6-1
Removed Pin From Net: NetName=5V_ESP32 Pin=C6-2
Removed Pin From Net: NetName=12V Pin=C7-1
Removed Pin From Net: NetName=BAT_RETURN Pin=C7-2
Removed Pin From Net: NetName=12V Pin=C8-1
Removed Pin From Net: NetName=BAT_RETURN Pin=C8-2
Removed Pin From Net: NetName=12V Pin=C9-1
Removed Pin From Net: NetName=BAT_RETURN Pin=C9-2
Removed Pin From Net: NetName=5V_ESP32 Pin=I2C-1
Removed Pin From Net: NetName=SDA Pin=I2C-2
Removed Pin From Net: NetName=SCL Pin=I2C-3
Removed Pin From Net: NetName=5V_ESP32_RETURN Pin=I2C-4
Removed Pin From Net: NetName=3V3 Pin=IMU-1
Removed Pin From Net: NetName=SDA Pin=IMU-2
Removed Pin From Net: NetName=SCL Pin=IMU-3
Removed Pin From Net: NetName=3V3 Pin=IMU-4
Removed Pin From Net: NetName=3V3_RETURN Pin=IMU-5
Removed Pin From Net: NetName=3V3_RETURN Pin=IMU-6
Removed Pin From Net: NetName=M1_DIRECTION Pin=J2-1
Removed Pin From Net: NetName=M1_PWM Pin=J2-2
Removed Pin From Net: NetName=M2_DIRECTION Pin=J2-3
Removed Pin From Net: NetName=M2_PWM Pin=J2-4
Removed Pin From Net: NetName=3V3_RETURN Pin=J2-5
Removed Pin From Net: NetName=SPARE_1 Pin=J4-1
Removed Pin From Net: NetName=SPARE_2 Pin=J4-2
Removed Pin From Net: NetName=SPARE_3 Pin=J4-3
Removed Pin From Net: NetName=SPARE_4 Pin=J4-4
Removed Member From Class: ClassName=esp32 Member=12V_DRIVE
Removed Member From Class: ClassName=esp32 Member=12V_PI
Removed Member From Class: ClassName=esp32 Member=C6
Removed Member From Class: ClassName=esp32 Member=C7
Removed Member From Class: ClassName=esp32 Member=C8
Removed Member From Class: ClassName=esp32 Member=C9
Removed Member From Class: ClassName=esp32 Member=I2C
Removed Member From Class: ClassName=esp32 Member=J4
Change Component Footprint: Designator=IMU Old Footprint=CONN_A-7395-06B_MOL New Footprint=FP-22-12-4062-MFG
Change Component Footprint: Designator=C2 Old Footprint=FP-0402B104K500CT-IPC_C New Footprint=CAPC2012X14N
Change Component Footprint: Designator=J2 Old Footprint=MOLEX_22-27-2051 New Footprint=FP-22-12-4062-MFG
Change Component Comment : Designator=J2 Old Comment=22-27-2051 New Comment=22-12-4062
Change Component Comment : Designator=C2 Old Comment=100 nF New Comment=1uF 0805
Change Component Comment : Designator=IMU Old Comment=22124062 New Comment=22-12-4062
Change Managed Component Library Link : Designator=C2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=485B271A-6EC9-43AC-A45A-E580BBCFB6D6 Old ItemGUID=AD13BC19-5080-430B-8DEF-87E42BDEFC1B New ItemGUID=C8359D5A-E8FC-43AC-9F40-8131FC66DCF1 Old RevisionGUID=9388383C-BE78-41EA-B7DE-FD5159E1BA39 New RevisionGUID=e16c1af9-57a4-4678-800b-dfae4f13c593
Change Managed Component Library Link : Designator=IMU Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D6599AA9-577A-4013-95C1-C6256CCCBC83 Old RevisionGUID= New RevisionGUID=DC6876B6-9301-4858-943E-6D984D097020
Change Managed Component Library Link : Designator=J2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D6599AA9-577A-4013-95C1-C6256CCCBC83 Old RevisionGUID= New RevisionGUID=DC6876B6-9301-4858-943E-6D984D097020
Change component parameters: Designator = "C2" ("C2"); Footprint = "FP-0402B104K500CT-IPC_C"; UniqueID = "\CWWNYUPS" ("\CWWNYUPS")
Change component parameters (AddParameter): Name = "CapacitorType"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLinkDescription"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLinkURL"; Value = "http://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL21B105KBFNNN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DielectricType"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Samsung Electro Mechanics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPartNumber"; Value = "CL21B105KBFNNN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountingType"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACHStatement"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS3Certificate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS3Compliant"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageRating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "IMU" ("IMU"); Footprint = "CONN_A-7395-06B_MOL"; UniqueID = "\NXXQWBJA" ("\NXXQWBJA")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.molex.com/webdocs/datasheets/pdf/en-us/0022124062_PCB_HEADERS.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Gold,Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "4A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CONN HEADER R/A 6POS 2.54MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Footprint Url"; Value = "https://www.molex.com/pdm_docs/sd/022124062_sd.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "6.05mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "22-12-4062"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Headers & Wire Housings 2.54mm KK Hdr RA FricLK .5Au 6Ckt"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Contacts"; Value = "6"; VariantName = "[No Variations]"
